id,title,abstract,year,field,author,inCitation,outCitation,journalName,journalVolume,journalPages
6ebae96267c61298f1f6c7c0676589e880fb0390,Identification of Drosophila centromere associated proteins by quantitative affinity purification-mass spectrometry,"Centromeres of higher eukaryotes are epigenetically defined by the centromere specific histone H3 variant CENP-A(CID). CENP-A(CID) builds the foundation for the assembly of a large network of proteins. In contrast to mammalian systems, the protein composition of Drosophila centromeres has not been comprehensively investigated. Here we describe the proteome of Drosophila melanogaster centromeres as analyzed by quantitative affinity purification-mass spectrometry (AP-MS). The AP-MS input chromatin material was prepared from D. melanogaster cell lines expressing CENP-A(CID) or H3.3 fused to EGFP as baits. Centromere chromatin enriched proteins were identified based on their relative abundance in CENP-A(CID)-GFP compared to H3.3-GFP or mock affinity-purifications. The analysis yielded 86 proteins specifically enriched in centromere chromatin preparations. The data accompanying the manuscript on this approach (Barth et al., 2015, Proteomics 14:2167-78, DOI: 10.1002/pmic.201400052) has been deposited to the ProteomeXchange Consortium (http://www.proteomexchange.org) via the PRIDE partner repository with the dataset identifier PXD000758.",2015,Biology; Medicine,"list(name = ""Teresa K. Barth"", ids = ""6018900""); list(name = ""Georg O.M. Schade"", ids = ""3511687""); list(name = ""Andreas Schmidt"", ids = ""39761860""); list(name = ""Irene Vetter"", ids = ""40192257""); list(name = ""Marc Wirth"", ids = ""6985710""); list(name = ""Patrick Heun"", ids = ""2966228""); list(name = ""Axel Imhof"", ids = ""145112223""); list(name = ""Andreas W Thomae"", ids = ""3647723"")",5b52e2288cdf2ac0eb5c716c6aba8ad9295fcba7; a63272e52c736672b763bb1d2debfc27b5a865aa; 0205df4c2f0e6f1a262a87d5f5c4ee2d41002a7c; 7ab70170ebeaece8a5cb7c4ce260dc1f2ca46947; 87253231cacf583ae5e344d977ef7f4334ac724d; cecc033a02be91294bf1ef617c076b934805f7ab,fdb52249507ad297671fccf5b60e1c3955426bbb; af47ec845f1b60e2117bb1a093de224429786e8c; 644cc7f6990bf3a02e3bcb48930eb9cbf9ed6c03; 12be944e8403fb2aefdef27d06afc8844e92dea8; fcef2258a963f3d3984a486185ddc4349c43aa35; 95f089433100f2436e3daf812226f53b441924eb; 1c394544c91ad3517a24639c4559c754ba758e90,Data in Brief,4,544 - 550
b5a40168a148e290c7ed1e976d8c4d7e5c8e7977,Chromosome arm aneuploidies shape tumour evolution and drug response,"Chromosome arm aneuploidies (CAAs) are pervasive in cancers. However, how they affect cancer development, prognosis and treatment remains largely unknown. Here, we analyse CAA profiles of 23,427 tumours, identifying aspects of tumour evolution including probable orders in which CAAs occur and CAAs predicting tissue-specific metastasis. Both haematological and solid cancers initially gain chromosome arms, while only solid cancers subsequently preferentially lose multiple arms. 72 CAAs and 88 synergistically co-occurring CAA pairs multivariately predict good or poor survival for 58% of 6977 patients, with negligible impact of whole-genome doubling. Additionally, machine learning identifies 31 CAAs that robustly alter response to 56 chemotherapeutic drugs across cell lines representing 17 cancer types. We also uncover 1024 potential synthetic lethal pharmacogenomic interactions. Notably, in predicting drug response, CAAs substantially outperform mutations and focal deletions/amplifications combined. Thus, CAAs predict cancer prognosis, shape tumour evolution, metastasis and drug response, and may advance precision oncology. Chromosome arm-level aneuploidies (CAAs) are frequently observed in cancer. Here, the authors analyse CAA landscapes across different tumour types, relating these chromosome arm gains and losses to tumour evolution, metastasis, patient survival and response to a range of anti-cancer therapies.",2020,Biology; Medicine,"list(name = ""Ankit Shukla"", ids = ""49218776""); list(name = ""Thu H. M. Nguyen"", ids = ""123233131""); list(name = ""Sarat Babu Moka"", ids = ""2488515""); list(name = ""Jonathan J. Ellis"", ids = ""2369169""); list(name = ""John P. Grady"", ids = ""3505600""); list(name = ""Harald Oey"", ids = ""4845610""); list(name = ""Alexandre S. Cristino"", ids = ""2803676""); list(name = ""Kum Kum Khanna"", ids = ""2605771""); list(name = ""Dirk P. Kroese"", ids = ""1704242""); list(name = ""Lutz Krause"", ids = ""143972820""); list(name = ""Eloise Dray"", ids = ""1490654319""); list(name = ""J. Lynn Fink"", ids = ""153450901""); list(name = ""Pascal H. G. Duijf"", ids = ""145680352"")",35e6bc9193e8fa4b5398f75cfe23cdb9e515f0f4,1c64b7a76a4a7aaf4245acd70f07f66fcd5aa629; fcef2258a963f3d3984a486185ddc4349c43aa35; c9e247f6ec9ccd1852690deb8da49386feb687b5; adfed829b4fdb26fbc40e5e5188d17fce457cbc1; efe973075ac6c86965fdc937e44d5bbac34d00c9; bb9749a5c50e5dc76e06ae70987848c5075b4811; c1ea82052866cd20a561d2115f42225cb5ecd49f; a468c4a29dd982818ec539b7010abb982123b99b; 4c1570a49ce7be3e6229b7080bf9805d06c62c40; 4e418c4acb4a429b655e267c8775648a35c37512; afa8fe1a6d2dea2769486b87ac571d528fa1e73a; 78afa263e065b4410472d99b3695a050d6a5d242; 4406347fcdbb3df791b7e5df74a22fcabcd26a5b; aade7482a5c204f73413339b02c1974f46a85270; 8a75d607955ea9eac90619e727101150bec6356e; 07944199749363f441678682356d0f9c4ec522cb; fbde5a18211531358c3edb813e2b4431910f165d; 5243ae9c437a44c9b464ded0442f3d174ef2cd7a; b1c222ba187805fca04e9f578b51306296430042; 818cae558daeafbf51a562d385bf6608ddd720ad; f7761d3376749d66fb5eec1bcdfbcc8541548b5e; b365b8e45b7d81f081de44ac8f9eadf9144f3ca5; 9c38fce50c0946976abb105c986ebbea25d5cae9; 26ebfa358cba59926e9979dfedc4bf1bdfbd87bd; 0808dec4efeda3e798ba9b7a5ce17f4a6b2992ae; 0a2cc8278e64eed3a0686bd57b86e7c8ba7ff4b3; b411cbe2ad1b39f661d7501f68f25e1facb1eae2; 546766ab642b3e34675392d70602b2b16c024121; 76284a56713e657a00ba3d7eb295d8768f3686fe; 168f28ac3c8c7ea63bf7ed25f2288e8b67e2fe74; 49140fb2ab74fb570757a9c4acd7af8b7cd22c7e; 9e0e4b77a89801b56c8d052688887db2b4081aee; 0a14824290453b95d051ec9cc299d0f61ad82b23; b9f6e9ac6c1f07a1875b07791ab08a9d37936f14; 0a1b4bd47aa822a720f97b1821fd9e1827e2c5c3; 6ff70b8b4036e0fb18387a48910fc02b8cf2a60b; 01e5361a7d86ea900965a63cee7b633201f913a3; d2ddb4d83c1696ff1e9285cf4bc253421db8484c; 13f5a2d407da4c0bb9676619c3284d01fb44cf09; 674fe593cf4bbf739f6e56329e484be8ebedc16a; 5673afafd5a61e47f36ff92c69a22b221d1e6edd; e9c54f7342a8fdcfc4760b43102880b65420e376; 2d2803ddb444fc7a8814e9478cf090bcae4644b5; fc1378b052431b08c85f7d5df3c6dac4a0ecb435; 7bdfcef737103131850e326d27a94000073b0814; 77986928fb1ec250fef7c80ca0398a3c8287b127; f0bcf1803d30ac3dd1570da8d4a732e657749e53; 422e89dd66613c3abbc9c6562e0533ff05ae4edc; 89892be3d3c37f34a5390706ffdb975ac32d3cd5; 0ca2628de25b749ea8a273fed83e161f86a85fa7; 31bb581bccd676268e50ea4c18a970deec9514de; d83b97a5e000a684b8ba5f284a72d4dfb7663b33; 050b9323b0416febe2f946b00808925eb19880d2; f60fb1eb977c3627c2d07a7a393048a48bb4a510; f646b42e2c078afdb2b8193653e0aab8d467a95e; 232406e0bc86171b8784de7817caed978e23a616; dd2d110ed159858a440d489a701139c4c9dab0a9; 4395088cd475eb7a2cfbddf9608e72dc069b55d9; d650b832e9bc4c4463c08bce14b027129d2a083c; 1adb1ea92786e0343b6c6230cb0a4b8f2b8a3278,Nature Communications,11,
1e4278dd0a5bc83e9ab57e37f5df952aaf7f4679,Characterization of mutations in the PAS domain of the EvgS sensor kinase selected by laboratory evolution for acid resistance in Escherichia coli,"Laboratory-based evolution and whole-genome sequencing can link genotype and phenotype. We used evolution of acid resistance in exponential phase Escherichia coli to study resistance to a lethal stress. Iterative selection at pH 2.5 generated five populations that were resistant to low pH in early exponential phase. Genome sequencing revealed multiple mutations, but the only gene mutated in all strains was evgS, part of a two-component system that has already been implicated in acid resistance. All these mutations were in the cytoplasmic PAS domain of EvgS, and were shown to be solely responsible for the resistant phenotype, causing strong upregulation at neutral pH of genes normally induced by low pH. Resistance to pH 2.5 in these strains did not require the transporter GadC, or the sigma factor RpoS. We found that EvgS-dependent constitutive acid resistance to pH 2.5 was retained in the absence of the regulators GadE or YdeO, but was lost if the oxidoreductase YdeP was also absent. A deletion in the periplasmic domain of EvgS abolished the response to low pH, but not the activity of the constitutive mutants. On the basis of these results we propose a model for how EvgS may become activated by low pH.",2014,Biology; Medicine,"list(name = ""Matthew D Johnson"", ids = ""48389850""); list(name = ""James Bell"", ids = ""50158705""); list(name = ""Kim Clarke"", ids = ""46887920""); list(name = ""Rachel Chandler"", ids = ""33507086""); list(name = ""Prachi Pathak"", ids = ""145450826""); list(name = ""Yandong Xia"", ids = ""32730615""); list(name = ""Robert L. Marshall"", ids = ""49951284""); list(name = ""George M. Weinstock"", ids = ""46367152""); list(name = ""Nicholas J. Loman"", ids = ""2950704""); list(name = ""Peter James Winn"", ids = ""40075552""); list(name = ""Peter A. Lund"", ids = ""35245862"")",f1bb63289e5fc1a5ad894055cff048547a68d6c0; 3d35b21fa5c63b42dafcb67c7fbea710bf38fe7a; 3760f4184a35bc7bcb0c448b5b416d5246b556c4; 3cf1be4357b56f4855d34f26c44c2b4cdf8e2007; 20eb37838304be5a4693d79d93dc7bda3f43125c; 51ba2c22c2995eff10f3c121cedbe3b4dce5979a; 03083a4695acb0dcf6e9e190a94f8d48e5384f91; b2cbd26ff4465520fab3926996c5a6574ea008ae; 03c5386f16137185ecde300fee254bc0b2331972; 8ab90012b8c49fce11d123df53cf523cac11219f; 987cbb98f896f17a43a51c427ba13d6d52a1a6b5; 6c82ebe294ade7dc7a4f3145e5ec05d15e04a99f; 7e3ae9fc9ddf3b25cb4013962e50edb89588f64e,1859f2a953973e33c99543a2514f31be104d7479; c8839ddddb3d454b936b02b5f3bb43dc9a7ce8f4; 8d1eba8b1a1addca2bd54cfe305f1545beb49ab2; 2bd5b9383c19e68ec958485f11cac1d538870eb0; 9e0b055c6ac49f3f30b9850b2c30f16b338853c2; 1473bac28bbcc4c6c2943bcd49bd382795abec15; 9d6820f84ae66b5afb096eb85b1afbe1848792a8; c2ba9ca530cf6e6e294586fe3e8c6eed3bb545c0; 509811cab9747a724335604e776df0e980ef094a; e222d4aa39184344a80ecc979e848d1ccadc2a04; c4c96f0fb9212259e2bde14071ee04dc810f9805; 722946d13b464b930a2cff9859d10eca869ed064; 04cc26e46a77fbe9456ab0ba454c669ba5b7d7c2; bb3aaaf9416091211268ac88f8882ca2b1caaf92; 4f1f8c6c4c6b85604d1efbb767250cbde599b7ea; 6fd31a6fb4fc7fce9a782c511e7972eb97f4f502; b6ed912b425f52dd28068eb7750413ea93cd153f; a56d73f613565682030c124547759abc50b1b4ba; 10241c92fcc2ab860d00c1881e680461de589a4b; 54bcf24ef2b37279efb0ddbf9b0d43c805f9291a; 53b919ecf047fd22c16b9dd2c2bb8dc952a1fd35; 41c50d1f914400d03f092989066ffffea07004e7; 29b7fea1730925ddd8fa484c706c35a6dc1d7803; d124dcbbdff7b78cbe51c8c957d66d4bdb446e53; b714ed29482f037651e0431d68bd1137dea10682; 9bdd50bec182765893d6088a5ff5e25a2307fe54; ab418fbf39805c4591f024ab5d0c097eab79dc66; fffc59d8561305bafe87e4b8bbe9a2d619604df1; 2a0036b8c05b0032841272eacc648f073836b4fc; df8b1bc01141fac076a17672048d870f25be106c; 5d475a71316c24ef06ed6258b191158273d0886e; 4fd2e0267238c41f6bb1512c0de289b44ba28423; 4e4c45016587443f679b43db7c2c240be2b61107; 5178bb6dc9255ee391a674b83f468173f721ca6e; 23fa0ecf1827daf8f18d6946b213cc2b84edc04f; c3b8bdf18327e8715dc41e9d2c638e9f69ca38fe; 0c486cab26fe0bd9792b98386bb1441e6989ce33; f5edf587b7e55efc35ea14af423163173e7e38ed; 0b9f5f9ce5dcf47431a1535c95ca8c90e8b62cc7; dc87e92dadffc39125e9ad01d5d5cde0ca5f3ed5; f9453d2181bc241fa6793f35e58dee4c91ae3acc; 9230d14e668c86d3ec31cb7dbd4b7d54f47ffe5b; 014b549953b0f9f15662a476d74a678da4075630; 09e8fffffe29d6b53bee072e4f632e32239a43f8; c907de9dfae68f7db7fda27d74feb45e4bce5667; 225ba9111ed4b4e0f5bbe12c69e7235e353ff3ff; 057015f2ffd1e7536a537ad1217979e1675fc006; 8d72a81d4ca6ce3d5ef20e89551934bc6d02936c; 6922451a43b7d33bb049c75adb6e033a661dd1ac; 91e550fe17b371516ef116120642818926cdf202; 5349c02ea8c934faf65678e749fad28e78436a9b; 353d4c716b249c09b7256cfb27052f42cc55d29b; b36b9a86a72289ff7ba9e0c77a0fef115560bb60; d6c6e1ac12eef7ca54099478fbfcad16db60de4b; bc103d96366ec97e0dd620894bbb04c8849eb772; 9be8b8fd7119b1bb7b76c392e1d20f512ebb2aa8; 879a849ff9f19fe5c42ddb925630f107aed93881; 08e46afbc05d7cddd144d6c3e46147e2624ba305; c691ece02f81ed086bcd08fe4f482e1e648f958c; a3d0fde8072e452d1cca0c775c027a65f5c5752d; 2b19ae6fc225a42086436ac5e114668721c89833; 5e3d827dcb68d84111085520efb9e9be08741386; d03bd3891005dd8ff7628f3316f24edbd233cf8b; 56a0112946f47239ced16e174273b1a5d452184b; 95c3dd84ecbc5473bbab8f0b92516a4e78156f47; 35c54d3acb69b3188977e03b805f470375a5015d; d91780bf251fc3a6772e29b31f8a7d45deaed073; 02fbb93b1de00231eb52d08e0f84f7a55dcfccb3; 7be4de65757f54c0048fc42ce6f962ee2f307dd3; 4ed46e92488fccc3271b36d1f9318207a9e7038d; 7eca87ff37b99fe8563490b96e7106848b32120a; 773cded6afb7b47c29d3eae21f7de4ae55babb33; fcef2258a963f3d3984a486185ddc4349c43aa35; 6f3675caf5bcce3ad0f0414de0d19390cb6f14ea; ba24b78c1904fe9c8e5c803bc84264fa11f68359; bf44be07cb7a6d6038b21709ff06f013356bc887; cc18ea7ec8f9c7fe306974bcc6fca6cced09a943; 8630d08f8262c54da82a72cea484aad5e70d7bb4; 5fcc40e3100b04cb9a1620ffa74ac93a9a73803a; 5105314aa9687a80c4dc7727ab4b1f10be5f4c42; f3f4b052028f0c0864bbc8361f8f268bd6d5c587,Molecular Microbiology,93,911 - 927
42355b9a0564ef39c72447b3f7ff35ed266f2395,Integrated Feature Selection and Clustering from Multiple Views for a Taxonomic Problem,"As computer and database technologies advance rapidly, biologists all over the world can share biologically meaningful data from images of specimens and use the data to classify the specimens taxonomically. Accurate shape analysis of a specimen from multiple views of 2D images is crucial for finding diagnostic features using geometric morphometric techniques. We propose an integrated feature selection and clustering framework that automatically identifies a set of feature variables to group specimens into a binary cluster tree. The candidate features are generated from reconstructed 3D shape and local saliency characteristics from 2D images of the specimen. We use a mixture model to estimate the significance value of each feature and control the false discovery rate in the feature selection process so that the clustering algorithm can efficiently partition the specimen samples into clusters that may correspond to different species. The experiments on a taxonomic problem involving species of suckers in the genus Carpiodes demonstrate promising results using the proposed framework with small sample size.",2007,Computer Science,"list(name = ""Huimin Chen"", ids = ""47666582""); list(name = ""Henry L. Bart"", ids = ""2288224""); list(name = ""Shuqing Huang"", ids = ""2364511"")",,ca9590659c46c231f51aee4c0adf682c44186851; f7f15848cd0fbb3d08f351595da833b1627de9c3; b02f474196fb9bd61fa3d418a7ba8ac500e8d422; d99abaff1fc8f32767be4bf06badafbb7ba58f1e; 6b62d40cdeafb44cbdd730fbb7dde3e717b3f9b7; fcef2258a963f3d3984a486185ddc4349c43aa35; 3b0bb5dc0d93095e2a2d1d43eb62fe99b1b28087; 93b625a0e35b59fa6a3e7dc1cbdb31268d62d69f; f82e86b853fcda968d63c0196bf2df6748b13233; 9cdff0185ff9c37e8120c35dd3ca3a1483ee6a35; b9e74eec9f5385dcf580994c5a316bc2401b91c2,2007 IEEE 9th Workshop on Multimedia Signal Processing,,211-214
3a3c286140042043f54cef7de16666f9c1bf5d2e,An integrated package for bisulfite DNA methylation data analysis with Indel-sensitive mapping,"BackgroundDNA methylation plays crucial roles in most eukaryotic organisms. Bisulfite sequencing (BS-Seq) is a sequencing approach that provides quantitative cytosine methylation levels in genome-wide scope and single-base resolution. However, genomic variations such as insertions and deletions (indels) affect methylation calling, and the alignment of reads near/across indels becomes inaccurate in the presence of polymorphisms. Hence, the simultaneous detection of DNA methylation and indels is important for exploring the mechanisms of functional regulation in organisms.ResultsThese problems motivated us to develop the algorithm BatMeth2, which can align BS reads with high accuracy while allowing for variable-length indels with respect to the reference genome. The results from simulated and real bisulfite DNA methylation data demonstrated that our proposed method increases alignment accuracy. Additionally, BatMeth2 can calculate the methylation levels of individual loci, genomic regions or functional regions such as genes/transposable elements. Additional programs were also developed to provide methylation data annotation, visualization, and differentially methylated cytosine/region (DMC/DMR) detection. The whole package provides new tools and will benefit bisulfite data analysis.ConclusionBatMeth2 improves DNA methylation calling, particularly for regions close to indels. It is an autorun package and easy to use. In addition, a DNA methylation visualization program and a differential analysis program are provided in BatMeth2. We believe that BatMeth2 will facilitate the study of the mechanisms of DNA methylation in development and disease. BatMeth2 is an open source software program and is available on GitHub (https://github.com/GuoliangLi-HZAU/BatMeth2/).",2018,Biology; Computer Science; Medicine,"list(name = ""Qiangwei Zhou"", ids = ""5819702""); list(name = ""Jing-Quan Lim"", ids = ""4798047""); list(name = ""Wing-Kin Sung"", ids = ""143715233""); list(name = ""Guoliang Li"", ids = ""23492509"")",432e0f6e0f8122d535e0c650458c210dcad30499; 4c55a788554dabbc2df09869b549d02d1f84a5c1,d00df510f9a8e601419033ce8f721b31eb0e5b9d; f31375f51391b23414a09dec0c2550fd2c92ee15; 39087c9b3085cea370f5b18ba259da7c8e42e0e0; dd8489400e9543422ac07cc146b575b58fe9af1b; 85350c2a270a760864721c3ed36996ed5409a243; 74574ee09030e8aadb48fa349eb9b054e2f95ceb; 0e68beebb4c7ccbd9d3b410b84481ae48908d029; 06fe37f384639d713706735f3fbd3541806126ab; 3e3fbd588b1deebdf12c298cf6526a7e5d1a2e60; 7767208f98af7b4a7bb394aa18ea7364935b77cc; 5b9fc382a3ff6020abc53559639a4ad49c0368f8; fcef2258a963f3d3984a486185ddc4349c43aa35; 8f35cc66c34edb05b0a3ba5ec2cb98a3de321bc1; 6f6493239a7adf0d77b23b85e34a2f8b9a57f036; 383746e9a9c2b41ef9322ffa2f1fce015199190c; 72ac2f5f8a8fd8b38d1f6993c97c1750f68b0b3b; 2c982c1dcf6d71b3bafb7953e1513ac7ea4fdcce; 77ddbbd9e6d17f01c6a59f5b621dd50db79d35b4; eb26952002b8a0e4317c3a80d3e221091fc84ef5; a114acb9c90d29d9611674824b01a007b6b7a115; 0bc03232951e35755ef8949623603e74f3d7d5ad; 3bd7ed4cf1bcdea72ba2bc2a658871ed266bfff7; f5cfe85216e5059c900cad4fb5e2c1f761142738; a5ce9692809bde8751f8cf2764f58a1d21a0ca78; a96753f983a45b152be86e22af74afe2105266f2; d0cb295ce34566cad15000ab3f2d1391698c7e61; 93dcba3a5a70377faba91249c5d4b5f4cd7d93ff; d3c9bc9d739903c32720203db9c894cac35aa7f7; 65d6e8d69c657528b0c50bacddbf6747935865f1; 4249e1d658670c2f3253ecf384f31029acbaddeb; 921fae19a9ae1d5a7e172cc5cfa2404c4852d79e; b4da5cc2676b86904a898490fc1c0a86906983d8; 1d50bb94b8c0333ead2e0d266bda5ac8edbd1dee,BMC Bioinformatics,20,
0503b7bbd48fd8089591ebb4592d50063f7d4f8e,Double-sampling designs to reduce the non-discoveryrate. Application to microarray data,"Simultaneous tests of a huge number of hypotheses is a core issue in high flow experimental methods such as microarray for transcriptomic data. In the central debate about the type I error rate, Benjamini and Hochberg (1995) have proposed a procedure that is shown to control the now popular False Discovery Rate (FDR) under assumption of independence between the test statistics. These results have been extended to a larger class of dependency by Benjamini and Yekutieli (2001) and improvements have emerged in recent years, among which step-up procedures have shown desirable properties. The present paper focuses on the type II error rate. The proposed method improves the power by means of double-sampling test statistics integrating external information available both on the sample for which the outcomes are measured and also on additional items. The small sample distribution of the test statistics is provided and simulation studies are used to show the beneficial impact of introducing relevant covariates in the testing strategy. Finally, the present method is implemented in a situation where microarray data are used to select the genes that affect the degree of muscle destructuration in pigs. A phenotypic covariate is introduced in the analysis to improve the search for differentially expressed genes.",2009,Computer Science,"list(name = ""Maela Kloareg"", ids = ""10748702""); list(name = ""David Causeur"", ids = ""2234785"")",,5016c4564aa35317068e9ae11b174bcd0e2a1cca; bccb78afc4b35fe0ba3c3245f96e4b848e589a6e; 4d65e9ceb2981fc081f42544b5110ccd07d28976; a73932d368f9a4ad68fb558613fd447cba5567b2; aef517069bde240abffad073cce4e7d46a2cee02; aa35fb1fa5ba728705bba2a887a4cb13efba31ca; 715580a7be4c1945b2ab608bd43dd4f718587643; 05980a31fcea35f3fec7f60bbc4785e157c88840; 6713957901c1b9c0823d746930ea335d7b013b22; 4a6fe45e099fdbee848c09514d634d4dab0b4780; 21b6c1b4a61d4d2ecbcdccea88b1e290648c08cf; 6c7de170e15fa043eaf4a33b068f123561f9ea0e; 156e7730b8ba8a08ec97eb6c2eaaf2124ed0ce6e; fcef2258a963f3d3984a486185ddc4349c43aa35; 056e7774cd48d90dad92fbac784baa1837459aec; e7b9bb433eb30eae9bbec7d4ae97903a6718c083; b16cd25aef1d6663167733a2ac7681a8d7b23990,Journal of data science,7,219-234
